epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
56,0.2755,0.322,0.8299,0.7094,0.8523,0.9349,0.3113,0.8305,0.7108,0.8542,0.939
57,0.2828,0.3731,0.8024,0.6702,0.8282,0.9137,0.3455,0.8119,0.6837,0.8381,0.925
58,0.2803,0.3203,0.8367,0.7194,0.8577,0.937,0.3217,0.8308,0.7109,0.8538,0.935
59,0.2989,0.3462,0.8188,0.6933,0.8423,0.9253,0.3497,0.8118,0.6837,0.8378,0.9233
60,0.2906,0.3092,0.841,0.7258,0.8618,0.9401,0.3121,0.8325,0.7134,0.8554,0.938
61,0.2868,0.3234,0.8345,0.7166,0.8563,0.9348,0.342,0.8196,0.6958,0.8446,0.9261
62,0.3023,0.4408,0.7711,0.6294,0.8023,0.8864,0.4865,0.7381,0.5882,0.7762,0.8638
63,0.2864,0.4103,0.7862,0.648,0.8133,0.8983,0.4105,0.7813,0.642,0.8115,0.8978
64,0.2747,0.339,0.8247,0.7023,0.8481,0.9289,0.3937,0.795,0.662,0.8238,0.9067
65,0.2803,0.3279,0.8268,0.7053,0.8497,0.932,0.3369,0.8156,0.6898,0.8415,0.9274
66,0.2737,0.3009,0.8392,0.7232,0.8605,0.9426,0.3074,0.8321,0.7128,0.8551,0.9398
67,0.2701,0.3333,0.824,0.7012,0.8476,0.9308,0.3432,0.8137,0.687,0.8393,0.9261
68,0.2684,0.2936,0.8499,0.7393,0.8698,0.9463,0.278,0.8534,0.7443,0.8733,0.9513
69,0.2672,0.3038,0.8408,0.7257,0.862,0.9423,0.3068,0.8322,0.713,0.8549,0.9406
70,0.2664,0.2971,0.8451,0.7321,0.8656,0.9446,0.2974,0.8383,0.7218,0.8601,0.9438
71,0.2651,0.3075,0.841,0.7262,0.8621,0.9409,0.3227,0.828,0.7072,0.8512,0.9339
72,0.277,0.4077,0.7855,0.6469,0.8153,0.904,0.448,0.7618,0.6168,0.7974,0.8888
73,0.2709,0.3046,0.8367,0.7195,0.8587,0.9438,0.303,0.8293,0.7087,0.8531,0.9446
74,0.2691,0.3422,0.8236,0.7007,0.8471,0.9277,0.3587,0.8095,0.6802,0.8356,0.9209
75,0.2655,0.2949,0.8503,0.7399,0.8701,0.9459,0.2729,0.856,0.7483,0.8756,0.9533
76,0.2659,0.3256,0.8267,0.7051,0.8501,0.9338,0.3224,0.8259,0.7037,0.8498,0.9354
77,0.2623,0.2931,0.8509,0.7408,0.8707,0.9465,0.2949,0.8485,0.7371,0.8688,0.9454
78,0.2643,0.2884,0.8514,0.7415,0.871,0.9479,0.2684,0.8565,0.7491,0.8759,0.9547
79,0.2627,0.2985,0.8484,0.7371,0.8685,0.9447,0.2852,0.8483,0.7368,0.8691,0.9485
80,0.2606,0.2925,0.8506,0.7404,0.8704,0.9467,0.2804,0.8507,0.7402,0.8708,0.9503
81,0.2598,0.3075,0.8395,0.7238,0.8609,0.941,0.3022,0.8375,0.7207,0.8597,0.9426
82,0.2616,0.3003,0.8483,0.7369,0.8684,0.9443,0.2927,0.8468,0.7346,0.8676,0.9459
83,0.2585,0.3097,0.8414,0.7268,0.8625,0.9403,0.3016,0.8417,0.727,0.8632,0.9426
84,0.258,0.3045,0.8435,0.7298,0.8643,0.9422,0.3015,0.842,0.7274,0.8634,0.9429
85,0.2606,0.3322,0.828,0.7071,0.851,0.9319,0.3279,0.8267,0.7051,0.8504,0.9333
86,0.2585,0.3001,0.8462,0.7339,0.8666,0.9439,0.3003,0.8431,0.729,0.8643,0.9434
