epoch,train_loss,val_loss,val_dice,val_jaccard,val_balanced_acc,val_auc,test_loss,test_dice,test_jaccard,test_balanced_acc,test_auc
1,0.6406,0.656,0.3732,0.2294,0.5761,0.6492,0.6553,0.3776,0.2328,0.5779,0.6476
2,0.5422,0.5528,0.6025,0.4312,0.6898,0.793,0.5533,0.5892,0.4178,0.6843,0.7919
3,0.492,0.489,0.6978,0.5358,0.7476,0.8486,0.4873,0.6896,0.5264,0.7447,0.8503
4,0.4626,0.4585,0.7304,0.5753,0.7704,0.868,0.4562,0.7248,0.5685,0.7688,0.87
5,0.4421,0.4363,0.7523,0.6029,0.7868,0.8813,0.4343,0.7468,0.5959,0.7847,0.8824
